iso_code,year,age,unmet_need_section,unmet_need
140,1994,15_49,spacing,13.7
140,1994,15_49,limiting,5.3
140,2010,15_49,spacing,20.3
140,2010,15_49,limiting,6.7
144,1987,15_49,spacing,7.2
144,1987,15_49,limiting,5.1
144,2000,15_49,spacing,6.2
144,2000,15_49,limiting,12
144,2006,15_49,spacing,3.5
144,2006,15_49,limiting,3.8
148,1996,15_49,spacing,13.9
148,1996,15_49,limiting,3.6
148,2004,15_49,spacing,17.9
148,2004,15_49,limiting,2.7
148,2010,15_49,spacing,22.6
148,2010,15_49,limiting,5.7
170,1986,15_49,spacing,5.1
170,1986,15_49,limiting,8.3
170,1990,15_49,spacing,4.8
170,1990,15_49,limiting,9
170,1995,15_49,spacing,4.8
170,1995,15_49,limiting,6.6
170,2000,15_49,spacing,4.4
170,2000,15_49,limiting,5.7
170,2004,15_49,spacing,3.7
170,2004,15_49,limiting,4.9
170,2009,15_49,spacing,3.6
170,2009,15_49,limiting,4.4
174,1996,15_49,spacing,22
174,1996,15_49,limiting,13.5
174,2012,15_49,spacing,23.6
174,2012,15_49,limiting,8.1
178,2005,15_49,spacing,14
178,2005,15_49,limiting,5.5
178,2011,15_49,spacing,14.9
178,2011,15_49,limiting,3.3
180,2007,15_49,spacing,19.9
180,2007,15_49,limiting,7
180,2010,15_49,spacing,17.7
180,2010,15_49,limiting,6.5
180,2013,15_49,spacing,20.7
180,2013,15_49,limiting,6.9
188,1992,15_49,spacing,2
188,1992,15_49,limiting,3
188,2011,15_49,spacing,3.5
188,2011,15_49,limiting,4
192,2010,15_49,spacing,2.7
192,2010,15_49,limiting,6.4
203,1993,15_44,spacing,3.9
203,1993,15_44,limiting,10.7
203,1997,15_44,limiting,10.8
204,1996,15_49,spacing,18.7
204,1996,15_49,limiting,9
204,2001,15_49,spacing,18.1
204,2001,15_49,limiting,9.8
204,2006,15_49,spacing,17.4
204,2006,15_49,limiting,9.9
204,2011,15_49,spacing,21.1
204,2011,15_49,limiting,11.5
214,1986,15_49,spacing,10
214,1986,15_49,limiting,9.4
214,1991,15_49,spacing,9.1
214,1991,15_49,limiting,10.3
214,1996,15_49,spacing,8.2
214,1996,15_49,limiting,6
214,1999,15_49,spacing,8.2
214,1999,15_49,limiting,5.7
214,2002,15_49,spacing,6.9
214,2002,15_49,limiting,5.5
214,2007,15_49,spacing,6.7
214,2007,15_49,limiting,4.4
214,2013,15_49,spacing,6.9
214,2013,15_49,limiting,4
218,1987,15_49,spacing,10.8
218,1987,15_49,limiting,13.4
226,2011,15_49,spacing,22
226,2011,15_49,limiting,12
231,2000,15_49,spacing,20.9
231,2000,15_49,limiting,15.7
231,2005,15_49,spacing,19.5
231,2005,15_49,limiting,16.6
231,2010,15_49,spacing,16.5
231,2010,15_49,limiting,9.8
231,2014,15_49,spacing,14.9
231,2014,15_49,limiting,9.4
232,1995,15_49,spacing,22.7
232,1995,15_49,limiting,7
232,2002,15_49,spacing,21.6
232,2002,15_49,limiting,6.8
250,1994,20_49,limiting,7.4
250,2004,15_49,limiting,1.7
266,2000,15_49,spacing,19.7
266,2000,15_49,limiting,8.1
266,2012,15_49,spacing,18.7
266,2012,15_49,limiting,7.7
268,1999,15_44,spacing,5.7
268,1999,15_44,limiting,18.1
268,2005,15_44,spacing,4.3
268,2005,15_44,limiting,12
270,2010,15_49,spacing,17
270,2010,15_49,limiting,4.5
275,2010,15_49,spacing,10.4
275,2010,15_49,limiting,5.3
288,1988,15_49,spacing,26.2
288,1988,15_49,limiting,9
288,1993,15_49,spacing,24.8
288,1993,15_49,limiting,12.1
288,1998,15_49,spacing,22.5
288,1998,15_49,limiting,12.3
288,2003,15_49,spacing,20.7
288,2003,15_49,limiting,13.7
288,2008,15_49,spacing,21.5
288,2008,15_49,limiting,14.2
288,2011,15_49,spacing,16.3
288,2011,15_49,limiting,10.1
288,2013,15_49,spacing,25.9
288,2013,15_49,limiting,13.2
288,2014,15_49,spacing,25.9
288,2014,15_49,limiting,12.3
288,2014,15_49,spacing,22.2
288,2014,15_49,limiting,10.4
296,2009,15_49,spacing,14.4
296,2009,15_49,limiting,13.6
320,1987,15_44,spacing,16.4
320,1987,15_44,limiting,13
320,1995,15_49,spacing,14.4
320,1995,15_49,limiting,13.7
320,1998,15_49,spacing,13.8
320,1998,15_49,limiting,13.1
320,2002,15_49,spacing,15.1
320,2002,15_49,limiting,12.5
320,2008,15_49,spacing,11
320,2008,15_49,limiting,9.8
324,1992,15_49,spacing,18.3
324,1992,15_49,limiting,6.4
324,1999,15_49,spacing,16.1
324,1999,15_49,limiting,8.7
324,2005,15_49,spacing,13.4
324,2005,15_49,limiting,8.5
328,2009,15_49,spacing,9.4
328,2009,15_49,limiting,19.1
332,1994,15_49,spacing,17
332,1994,15_49,limiting,27.7
332,2000,15_49,spacing,15.6
332,2000,15_49,limiting,24
332,2005,15_49,spacing,16.5
332,2005,15_49,limiting,20.8
332,2012,15_49,spacing,15.7
332,2012,15_49,limiting,19.7
340,1987,15_44,spacing,7.6
340,1987,15_44,limiting,8.2
340,2005,15_49,spacing,8
340,2005,15_49,limiting,8.8
340,2011,15_49,spacing,6.2
340,2011,15_49,limiting,4.5
348,1992,18_41,limiting,7
356,1992,15_49,spacing,12.2
356,1992,15_49,limiting,8.1
356,1998,15_49,spacing,8.3
356,1998,15_49,limiting,7.8
356,2003,15_44,spacing,8.5
356,2003,15_44,limiting,12.7
356,2005,15_49,spacing,6.1
356,2005,15_49,limiting,7.8
356,2007,15_49,spacing,7.2
356,2007,15_49,limiting,13.3
360,1987,15_49,spacing,10.1
360,1987,15_49,limiting,6
360,1991,15_49,spacing,8.6
360,1991,15_49,limiting,8.4
360,1994,15_49,spacing,6.6
360,1994,15_49,limiting,8.7
360,1997,15_49,spacing,5.9
360,1997,15_49,limiting,7.7
360,2002,15_49,spacing,4.7
360,2002,15_49,limiting,8.5
360,2007,15_49,spacing,4.8
360,2007,15_49,limiting,8.3
360,2012,15_49,spacing,4.5
360,2012,15_49,limiting,6.9
