iso_code,year,age,unmet_need
400,2007,15_49,13.8
400,2009,15_49,13.4
400,2012,15_49,11.7
398,1995,15_49,16.3
398,1999,15_49,11.9
398,2010-2011,15_49,11.6
404,1988-1989,15_49,38
404,1993,15_49,35.3
404,1998,15_49,28
404,2003,15_49,27.4
404,2008-2009,15_49,25.6
404,2014,15_49,20.9
404,2014,15_49,18.6
296,2009,15_49,28
417,1997,15_49,11.8
417,2012,15_49,18
418,2000,15_49,39.5
418,2005,15_49,27.3
418,2011-2012,15_49,19.9
428,1995,18_49,16.8
426,2004-2005,15_49,31
426,2009-2010,15_49,23.3
426,2014,15_49,18.4
430,1986,15_49,32.8
430,2007,15_49,35.7
430,2013,15_49,31.1
434,2007,15_49,27
440,1994-1995,18_49,18
450,1992,15_49,32.3
450,1997,15_49,27.7
450,2003-2004,15_49,24.5
450,2008-2009,15_49,19
454,1992,15_49,36.5
454,2000,15_49,29.9
454,2004,15_49,30.3
454,2010,15_49,26.2
454,2013-2014,15_49,19.4
462,2009,15_49,28.6
466,1987,15_49,22.9
466,1995-1996,15_49,27.5
466,2001,15_49,29.6
466,2006,15_49,27.6
466,2012-2013,15_49,26
584,2007,15_49,8.1
478,2000-2001,15_49,32.1
478,2011,15_49,31.1
480,1991,15_44,6.4
480,2002,15_49,3.5
484,1987,15_49,25.1
484,1995,15_49,16.1
484,1997,15_49,12.1
484,2003,15_49,9.9
484,2006,15_49,12
484,2009,15_49,9.8
496,1998,15_49,9.9
496,2003,15_49,4.6
496,2008,15_49,14.4
496,2010,15_49,22.3
496,2013,15_49,16
499,2013,15_49,21.8
504,1987,15_49,22.1
504,1992,15_49,23.5
504,1995,15_49,16.1
504,2003-2004,15_49,11.9
504,2010-2011,15_49,10.9
508,1997,15_49,24.9
508,2003-2004,15_49,18.9
508,2011,15_49,28.5
104,1991,15_49,20.6
104,1997,15_49,19.1
104,2001,15_49,19.1
516,1992,15_49,21.8
516,2000,15_49,23.9
516,2006-2007,15_49,20.7
516,2013,15_49,17.5
520,2007,15_49,23.5
524,1991-1992,15_49,27.7
524,1996,15_49,32.4
524,2001,15_49,27.8
524,2006,15_49,24.7
524,2011,15_49,27.5
558,1992-1993,15_49,23.9
558,1997-1998,15_49,17.9
558,2001,15_49,14.6
558,2006-2007,15_49,10.7
562,1992,15_49,18.7
562,1998,15_49,17.7
562,2006,15_49,16.1
562,2012,15_49,16
566,1990,15_49,21.5
566,1999,15_49,20
566,2003,15_49,17.5
566,2008,15_49,20.2
566,2011,15_49,18.9
512,2007-2008,15_49,55.9
586,1990-1991,15_49,30.5
586,1996-1997,15_49,37.5
586,2000-2001,15_49,33
586,2006-2007,15_49,25.2
586,2012-2013,15_49,20.1
591,2013,15_49,16.4
598,2006-2007,15_49,27.4
600,1987,15_44,32.9
600,1990,15_49,17.4
600,1995-1996,15_49,19.2
600,1998,15_44,17.3
600,2004,15_44,6.6
600,2008,15_44,4.7
604,1986,15_49,27.7
604,1991-1992,15_49,21.6
604,1996,15_49,17.7
604,2000,15_49,14.4
604,2007-2008,15_49,12.6
604,2009,15_49,7.2
604,2010,15_49,6.9
604,2011,15_49,6.1
604,2012,15_49,8.2
604,2013,15_49,9
608,1993,15_49,30.2
608,1998,15_49,24.6
608,2003,15_49,22.5
608,2008,15_49,22
608,2011,15_49,19.3
608,2013,15_49,17.5
